,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
708,7648873,2021-02-12,2021-02-14,Condomínio inteiro em Ilha Porchat,Ilha Porchat/S.Vicente-2 dorm- Linda vista- wi-fi,6 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Vista para as águas,Elevador,Estacionamento gratuito,4.90,30,155,479,Novo preço mais baixo
709,46107854,2021-02-12,2021-02-14,Apartamento inteiro em Aviação,Ap a 20 metros da praia permitido animais,8 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Estacionamento gratuito,Permitido animais,Vista para o mar,5.0,3,145,440,Novo preço mais baixo
710,40375621,2021-02-12,2021-02-14,Apartamento inteiro em Aparecida,"Santos, próximo da praia e do shopping, canal 5.",4 hóspedes,1 quarto,4 camas,1 banheiro,Wi-Fi,Elevador,Estacionamento gratuito,Permitido animais,4.22,9,206,411,Novo preço mais baixo
711,38647759,2021-02-12,2021-02-14,Apartamento inteiro em Santos,Apto amplo com ótima localização. Vista p/ praia.,6 hóspedes,2 quartos,3 camas,2 banheiros,Ar-condicionado,Wi-Fi,Self check-In,Elevador,5.0,7,279,728,Novo preço mais baixo
712,47200951,2021-02-12,2021-02-14,Apartamento inteiro em Guilhermina,Pé na areia com a melhor localização. Boqueirão.,8 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Self check-In,Vista para as águas,Estacionamento gratuito,5.0,3,230,589,Novo preço mais baixo
713,38647759,2021-02-12,2021-02-14,Apartamento inteiro em Santos,Apto amplo com ótima localização. Vista p/ praia.,6 hóspedes,2 quartos,3 camas,2 banheiros,Ar-condicionado,Wi-Fi,Self check-In,Elevador,5.0,7,279,728,Novo preço mais baixo
714,46107854,2021-02-12,2021-02-14,Apartamento inteiro em Aviação,Ap a 20 metros da praia permitido animais,8 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Estacionamento gratuito,Permitido animais,Vista para o mar,5.0,3,145,440,Novo preço mais baixo
715,47200951,2021-02-12,2021-02-14,Apartamento inteiro em Guilhermina,Pé na areia com a melhor localização. Boqueirão.,8 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Self check-In,Vista para as águas,Estacionamento gratuito,5.0,3,230,589,Novo preço mais baixo
716,14834054,2021-02-12,2021-02-14,Apartamento inteiro em Santos,403 Kitnet com wi-fi na quadra da praia,5 hóspedes,Estúdio,4 camas,1 banheiro,Wi-Fi,Elevador,Permitido animais,Cozinha,4.0,10,171,432,Novo preço mais baixo
717,38523870,2021-02-26,2021-02-28,Apartamento inteiro em Guilhermina,Relaxe... Sinta-se em casa fora de casa! 🏖😎,6 hóspedes,2 quartos,3 camas,1 banheiro,Wi-Fi,Vista para as águas,Elevador,Estacionamento gratuito,4.98,53,178,445,Novo preço mais baixo
718,32473078,2021-02-26,2021-02-28,Apartamento inteiro em Santos,Maravilhoso apartamento a 1 Quarteirão da Praia,5 hóspedes,1 quarto,4 camas,1 banheiro,Elevador,Academia,Piscina,Estacionamento gratuito,4.83,18,284,708,Novo preço mais baixo
719,27526457,2021-02-26,2021-02-28,Apartamento inteiro em Morro José Menino,Sol e praia uma combinação perfeita,4 hóspedes,1 quarto,6 camas,2 banheiros e meio,Wi-Fi,Elevador,Estacionamento gratuito,Permitido animais,4.84,45,174,468,Novo preço mais baixo
720,41904559,2021-02-26,2021-02-28,Apartamento inteiro em Santos,Book Santos - Unlimited 2111 -Moderno c/ Vista Mar,4 hóspedes,1 quarto,2 camas,1 banheiro,Ar-condicionado,Wi-Fi,Self check-In,Secadora,4.92,26,403,936,Raridade
721,46107854,2021-02-12,2021-02-14,Apartamento inteiro em Aviação,Ap a 20 metros da praia permitido animais,8 hóspedes,2 quartos,3 camas,2 banheiros,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,5.0,3,145,440,Novo preço mais baixo
722,45142519,2021-02-12,2021-02-14,Casa de hóspedes inteira em Cidade Náutica,Casa - Praias de São Vicente e Praia Grande,4 hóspedes,1 quarto,3 camas,1 banheiro,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,16,128,256,Novo preço mais baixo
723,46705332,2021-02-12,2021-02-14,Apartamento inteiro em Nova Mirim,"Apto 302 -  Na quadra da praia, c/ ar condicionado",4 hóspedes,1 quarto,3 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.33,6,203,406,Novo preço mais baixo
