,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
662,40532701,2021-04-16,2021-04-18,Apartamento inteiro em Gonzaga,"Apartamento pé na areia, no melhor ponto de Santos",4 hóspedes,1 quarto,2 camas,1 banheiro,Ar-condicionado,Wi-Fi,Elevador,Estacionamento gratuito,4.91,23,216,582,Raridade
663,20222310,2021-04-16,2021-04-18,Apartamento inteiro em Ilha Porchat,"Ilha Porchat, com vista, garagem e Wi-Fi",4 hóspedes,1 quarto,1 cama,1 banheiro,Wi-Fi,Self check-In,Secadora,Elevador,4.71,104,164,377,Raridade
665,34021661,2021-04-16,2021-04-18,Apartamento inteiro em Aparecida,Kitnet confortável na Orla da Praia/ Santos,2 hóspedes,1 quarto,4 camas,1 banheiro e meio,Ar-condicionado,Wi-Fi,Self check-In,Elevador,4.85,39,144,388,Raridade
666,29340787,2021-04-23,2021-04-25,Flat inteiro em Centro,Flat Boulevard com Ar condicionado e WI FI piscina,3 hóspedes,Estúdio,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.85,65,168,456,Raridade
667,36033418,2021-04-23,2021-04-25,Apartamento inteiro em Santos,Flat Estanconfor Santos com Jacuzzi privativa !,4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.83,47,503,1.086,Raridade
668,32190926,2021-04-23,2021-04-25,Apartamento inteiro em Santos,"Aconchego à Beira Mar, 100m da Praia/Ilha.",4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.85,78,147,359,Raridade
669,36733042,2021-04-23,2021-04-25,Apartamento inteiro em Guarujá,"Guarujá, praia 100m, Tv cb , Wi-Fi, ar Split -1310",4 hóspedes,1 quarto,3 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.83,70,187,434,Raridade
670,31276478,2021-04-02,2021-04-04,Apartamento inteiro em Centro,Apartamento de luxo - 50 m da praia - wifi 35 mega,4 hóspedes,Estúdio,1 cama,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.89,36,176,411,Raridade
671,29958587,2021-04-02,2021-04-04,Apartamento inteiro em Santos,"Stúdio 804 Beira Mar, Luxo e Conforto",4 hóspedes,1 quarto,2 camas,1 banheiro,Estacionamento gratuito,Wi-Fi,Ar-condicionado,Cozinha,4.88,78,260,654,Raridade
673,41352574,2021-04-16,2021-04-18,Condomínio inteiro em Aviação,Apto na Praia Grande,3 hóspedes,1 quarto,2 camas,1 banheiro,Wi-Fi,Self check-In,Elevador,Estacionamento gratuito,4.96,45,147,294,Raridade
674,39216218,2021-04-16,2021-04-18,Apartamento inteiro em  São Vicente,Kit Veraneio - Vista total para o mar,3 hóspedes,1 quarto,1 cama,1 banheiro,Self check-In,Elevador,Vista para o mar,Cozinha,4.96,51,144,388,Raridade
