,id,check-in,check-out,titulo,titulo_2,atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,atributo_7,atributo_8,avaliação,comentários,preço,preço_total,superhost
23,46937984,2021-02-19,2021-02-21,Casa inteira em Residencial Park D'Aville,Casa com piscina em Peruibe !,15 hóspedes,2 quartos,4 camas,1 banheiro,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.67,3,1.022,2.192,Novo preço mais baixo
24,39549389,2021-02-26,2021-02-28,Casa inteira em Baougainville Residencial,CASA COND FECH 4 SUITES PISCINA E LASER - PERUÍBE,8 hóspedes,4 quartos,6 camas,5 banheiros e meio,Wi-Fi,Ar-condicionado,Máquina de Lavar,Cozinha,5.0,6,989,2.248,Raridade
25,39549389,2021-02-26,2021-02-28,Casa inteira em Baougainville Residencial,CASA COND FECH 4 SUITES PISCINA E LASER - PERUÍBE,8 hóspedes,4 quartos,6 camas,5 banheiros e meio,Piscina,Wi-Fi,Estacionamento gratuito,Cozinha,5.0,6,989,2.248,Raridade
26,45206130,2021-02-19,2021-02-21,Casa inteira em Estância Bal Maria H Novaes,Casa de praia com piscina e área gourmet,16 hóspedes,4 quartos,8 camas,3 banheiros e meio,Ar-condicionado,Piscina,Cozinha,Estacionamento gratuito,5.0,3,870,1.940,Novo preço mais baixo
27,31877073,2021-02-19,2021-02-21,Casa inteira em Cidade Nova Peruíbe,"4 suítes, Piscina, Churrasqueira, 300m da praia",10 hóspedes,4 quartos,5 camas,4 banheiros e meio,Piscina,Cozinha,Permitido animais,Máquina de Lavar,5.0,10,1.472,3.344,Novo preço mais baixo
29,45067470,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,Pousada Suíte p/3 c/Ar Cond e Piscina -100m do mar,3 hóspedes,1 quarto,2 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Estacionamento gratuito,4.88,16,145,340,Raridade
30,29684686,2021-02-26,2021-02-28,Casa inteira em Peruíbe,Casa do Carlos  em Peruíbe.,4 hóspedes,Estúdio,1 cama,1 banheiro,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.94,68,237,593,Raridade
31,46690967,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 7 varanda "" Por do Sol """,2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,5,158,375,Novo preço mais baixo
32,41590205,2021-02-26,2021-02-28,Casa inteira em Jd Marcia II,"WI-FI Grátis - 3 Dorms, 3WC , QUARTEIRÃO DA PRAIA.",10 hóspedes,3 quartos,6 camas,3 banheiros e meio,Wi-Fi,Cozinha,Estacionamento gratuito,Máquina de Lavar,4.96,24,326,742,Raridade
33,46879880,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 5 varanda "" Sol Nascente""",2 hóspedes,1 quarto,1 cama,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,158,375,Novo preço mais baixo
34,46875225,2021-02-26,2021-02-28,Casa inteira em Parque Balneario Oasis,Casa Rosa de Peruíbe,10 hóspedes,3 quartos,8 camas,2 banheiros,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.43,7,348,696,Raridade
35,45771317,2021-02-26,2021-02-28,Quarto inteiro em Parque Balneario Oasis,"Suíte 1 Master Família varanda ""Nascer do Sol """,4 hóspedes,1 quarto,3 camas,1 banheiros privado,Wi-Fi,Ar-condicionado,Piscina,Vista para o mar,5.0,3,226,511,Novo preço mais baixo
