,Mes,Número Banheiros,Número Camas,Número Comentários,Número Hóspedes,Taxa,Semana_do_ano,Jacuzzi,Academia,Secadora,Localização,Piscina,Permitido animais,Preço/Noite
1474,3,1,6,20,6,60.0,10,0,0,0,0.04276550249465432,0,1,157.0
1475,3,1,2,49,4,0.0,10,0,0,1,0.08885721073889286,0,0,294.0
1476,3,4,16,27,16,129.5,10,1,0,0,0.00974103112378237,0,0,578.0
1477,3,1,2,6,4,65.0,10,0,0,0,0.06319790924210028,0,0,327.0
1478,2,1,2,20,4,24.5,8,0,0,0,0.002851033499643621,0,1,118.0
1479,2,1,3,54,4,40.0,8,0,0,0,0.0137799952482775,0,0,188.0
1480,4,1,2,81,4,60.0,14,0,0,0,0.08885721073889286,0,0,545.0
1481,3,1,1,15,3,99.0,12,0,0,0,0.010453789498693276,1,0,259.0
1482,2,1,3,27,4,40.0,7,0,0,0,0.03183654074602043,0,0,131.0
1483,4,1,2,82,4,40.0,15,0,0,0,0.057020669992872426,1,0,343.0
1484,3,1,4,41,4,29.5,10,0,0,0,0.04276550249465432,0,0,210.0
1485,2,1,1,27,4,65.0,7,0,0,0,0.06319790924210028,1,0,344.0
1486,4,2,3,106,6,84.5,16,0,0,0,0.029698265621287717,0,0,195.0
1487,2,1,1,95,2,42.5,7,0,1,0,0.05203136136849608,0,0,94.0
1488,2,1,3,78,6,55.0,7,0,0,0,0.02946067949631741,0,0,213.0
1489,2,1,3,6,4,75.0,6,0,0,0,0.01235447849845569,0,0,239.0
1490,3,1,1,5,2,29.5,11,0,0,0,0.01805654549774293,1,0,158.0
1491,3,1,1,12,2,49.5,10,0,0,0,0.02066999287241625,0,0,293.0
1492,2,1,2,23,4,55.0,7,0,0,0,0.02066999287241625,0,0,236.0
1493,3,1,1,20,2,55.0,10,0,0,0,0.0033262057495842237,1,0,103.0
1494,3,1,1,11,2,35.0,12,0,0,0,0.05203136136849608,0,1,119.0
1495,3,1,4,107,3,47.0,12,0,0,0,0.08885721073889286,0,0,150.0
1496,2,1,1,27,4,65.0,8,0,0,0,0.06319790924210028,1,0,344.0
1497,3,1,2,27,4,24.5,11,0,0,0,0.01805654549774293,1,0,174.0
1498,3,1,1,64,4,39.5,9,0,0,0,0.026847232121644096,0,0,263.0
1499,3,2,7,31,10,67.0,9,0,0,0,0.005939653124257543,1,0,575.0
1500,2,2,10,9,14,99.5,7,0,0,0,0.0002375861249703017,1,0,585.0
1501,4,1,3,28,6,12.0,13,0,0,0,0.014492753623188406,0,1,139.0
1502,2,1,3,29,4,20.0,7,0,0,0,0.015205511998099313,0,0,248.0
1503,3,1,1,8,2,0.0,12,0,1,0,0.0019006889997624141,1,0,160.0
1504,3,1,1,64,4,39.5,10,0,0,0,0.026847232121644096,0,0,263.0
1505,2,1,3,75,4,25.0,8,0,0,0,0.0035637918745545258,0,1,106.0
1506,3,1,2,19,4,24.5,12,0,0,0,0.0011879306248515089,1,0,272.0
1507,2,1,1,68,4,59.5,8,0,0,0,0.00974103112378237,0,0,237.0
1508,2,2,3,7,8,62.5,6,0,0,0,0.015205511998099313,0,1,307.0
1509,2,1,2,144,4,62.5,7,0,0,0,0.04276550249465432,1,0,320.0
1510,3,2,4,19,5,40.0,12,0,0,0,0.0016631028747921119,1,0,356.0
1511,3,2,4,19,5,40.0,12,0,0,0,0.0016631028747921119,1,0,356.0
1512,3,1,3,7,5,55.0,12,0,0,0,0.0066524114991684475,0,0,179.0
1513,2,1,2,26,4,55.0,8,0,0,0,0.01805654549774293,1,0,97.0
1514,2,2,8,42,7,100.0,6,0,0,0,0.04276550249465432,1,0,297.0
