,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
2829,39610645,2021-04-23,2021-04-25,Santos,4,1,2,1,4.88,81,488.0,1096.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
474,42517975,2021-03-05,2021-03-07,São Vicente,2,1,2,1,4.36,11,108.0,285.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,False
447,39704194,2021-03-19,2021-03-21,São Vicente,2,1,1,1,4.86,42,145.0,399.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
2186,39671588,2021-03-26,2021-03-28,Guarujá,4,1,3,1,4.76,34,226.0,452.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
4077,1524863,2021-03-26,2021-03-28,Santos,4,1,2,2,4.78,137,155.0,399.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
4588,44642259,2021-03-26,2021-03-28,Guilhermina,6,2,7,3,4.96,26,237.0,593.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3071,41101296,2021-01-29,2021-01-31,São Vicente,3,1,1,1,4.43,21,166.0,332.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
1390,38672853,2021-03-26,2021-03-28,Nova Mirim,3,1,3,1,4.94,64,211.0,502.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
2990,16062761,2021-01-29,2021-01-31,Guarujá,8,3,7,2,4.9,89,479.0,1156.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
3562,45974609,2021-03-26,2021-03-28,Vila Caiçara,8,2,2,2,5.0,9,154.0,377.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,False
1612,45481749,2021-02-19,2021-02-21,José Menino,4,1,2,1,4.9,10,386.0,896.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4016,44122369,2021-03-12,2021-03-14,Ilha Porchat,4,1,2,1,4.78,23,236.0,582.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False
2735,36733042,2021-04-16,2021-04-18,Guarujá,4,1,3,1,4.83,70,187.0,434.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,False
4364,45620462,2021-02-19,2021-02-21,Vila Balneária,4,2,3,2,4.68,25,162.0,374.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,False
4413,41937959,2021-02-19,2021-02-21,Guilhermina,6,1,2,1,4.95,19,181.0,502.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3056,38605568,2021-01-29,2021-01-31,Centervalle,8,3,5,2,5.0,19,408.0,936.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3247,40207948,2021-02-26,2021-02-28,Aviação,6,2,2,2,5.0,21,275.0,549.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
36,40155484,2021-02-12,2021-02-14,Jardim Asturias,6,3,4,2,4.76,17,676.0,1471.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,False
1407,33964543,2021-03-12,2021-03-14,José Menino,2,1,2,1,4.77,26,156.0,411.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False
4793,13810221,2021-03-05,2021-03-07,Chalé inteiro em São Roque,5,1,2,1,4.87,165,325.0,724.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,False
2453,42517975,2021-04-09,2021-04-11,São Vicente,2,1,2,1,4.36,11,119.0,308.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,False
2034,45740885,2021-03-26,2021-03-28,Ilha Porchat,2,1,1,1,5.0,12,293.0,685.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1729,19119865,2021-02-12,2021-02-14,José Menino,5,1,2,1,4.92,125,742.0,1683.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
2952,28105266,2021-01-29,2021-01-31,Boqueirão,8,3,6,2,4.96,55,365.0,879.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4944,25624796,2021-03-26,2021-03-28,Vila Andrade,2,1,1,1,4.7,20,103.0,205.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
