,ID,Check-In,Check-Out,Localização,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Vista para o mar,Piscina,Lava-louças,Wi-Fi,Café da Manhã,Máquina de Lavar,Estacionamento gratuito,Academia,Jacuzzi,Secadora,Entrada/saída para esquis,Cozinha,Vista para as águas,Permitido animais,Lareira interna,Ar-condicionado,Self check-In,Elevador,Novo preço mais baixo,Raridade,Banheiro Compartilhado
550,39499342,2021-03-05,2021-03-07,Praia Grande,4,1,3,1,5.0,18,184.0,488.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
682,40945881,2021-03-19,2021-03-21,Guarujá,4,1,4,1,4.83,41,198.0,456.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
5224,46875225,2021-03-05,2021-03-07,Casa inteira em Parque Balneario Oasis,10,3,8,2,4.43,7,351.0,702.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1172,46743206,2021-03-26,2021-03-28,Vila Tupi,4,1,2,1,4.4,5,191.0,502.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3857,46866361,2021-02-26,2021-02-28,Vila Tupi,4,1,4,1,5.0,3,124.0,364.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
2244,45479011,2021-04-09,2021-04-11,Ilha Porchat,4,1,2,1,5.0,16,211.0,502.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
4082,33166995,2021-03-12,2021-03-14,Embaré,3,1,2,1,4.88,32,149.0,297.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2182,39831271,2021-03-19,2021-03-21,Gonzaga,5,2,4,2,5.0,15,250.0,650.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,True
4470,31436143,2021-02-19,2021-02-21,Santos,4,1,2,1,4.89,35,313.0,756.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2663,33686494,2021-04-02,2021-04-04,Gonzaga,5,2,3,1,4.79,43,213.0,525.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,True
12,45225100,2021-02-12,2021-02-14,Vila Maia,10,3,6,3,5.0,8,410.0,970.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1775,46642654,2021-02-12,2021-02-14,Nova Mirim,4,1,3,1,4.89,9,203.0,406.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3041,46311254,2021-01-29,2021-01-31,Embaré,4,1,2,1,5.0,3,233.0,545.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,False
4080,45991304,2021-03-19,2021-03-21,Vila Clais,6,2,3,2,5.0,10,357.0,833.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1568,31985859,2021-03-19,2021-03-21,Aviação,6,1,4,2,4.89,27,257.0,514.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3967,44860968,2021-03-26,2021-03-28,Centro,2,1,1,1,5.0,12,108.0,285.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,False
2436,42018906,2021-04-09,2021-04-11,Ponta da Praia,5,1,3,1,4.92,74,126.0,251.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
5000,43956103,2021-02-19,2021-02-21,Casa inteira em Parque Balneario Oasis,15,3,8,4,4.67,6,592.0,1484.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1564,22577411,2021-03-26,2021-03-28,José Menino,6,1,4,1,4.95,56,134.0,418.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
902,40133804,2021-03-26,2021-03-28,Guarujá,6,2,5,2,4.73,22,323.0,646.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1989,40067438,2021-03-05,2021-03-07,Boqueirão,4,1,2,1,4.94,18,128.0,365.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,False
425,46110784,2021-02-26,2021-02-28,Centro,5,1,3,1,4.36,11,232.0,593.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1879,32473078,2021-02-19,2021-02-21,Santos,5,1,4,1,4.83,18,278.0,696.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False
1644,39831271,2021-02-26,2021-02-28,Gonzaga,5,2,4,2,5.0,15,250.0,650.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,True
3080,44376685,2021-01-29,2021-01-31,José Menino,5,2,4,2,5.0,13,559.0,1268.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True
3085,47517305,2021-01-29,2021-01-31,Gonzaga,4,1,1,1,4.67,3,337.0,804.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4270,41493308,2021-03-26,2021-03-28,Ponta da Praia,4,1,2,1,4.63,8,111.0,342.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
2896,1524863,2021-04-09,2021-04-11,Santos,4,1,2,2,4.78,137,164.0,418.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
891,21475047,2021-03-19,2021-03-21,Jardim Las Palmas,7,2,4,2,4.88,115,340.0,844.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,True
4503,30524886,2021-02-19,2021-02-21,Morumbi,2,1,2,1,4.56,39,158.0,466.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1726,31436143,2021-02-19,2021-02-21,Santos,4,1,2,1,4.89,35,329.0,788.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3225,39499342,2021-02-26,2021-02-28,Praia Grande,4,1,3,1,5.0,18,184.0,488.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
59,22896213,2021-02-12,2021-02-14,Vila Julia,4,1,1,1,4.91,90,331.0,662.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1189,44642259,2021-03-19,2021-03-21,Guilhermina,6,2,7,3,4.96,25,254.0,628.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3249,17181301,2021-02-19,2021-02-21,Praia Grande,4,1,3,2,5.0,27,427.0,1153.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2149,41493308,2021-03-05,2021-03-07,Ponta da Praia,4,1,2,1,4.63,8,111.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
627,36033418,2021-03-19,2021-03-21,Santos,4,1,2,1,4.83,47,415.0,908.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4686,45591346,2021-03-19,2021-03-21,Casa inteira em Estância Bal Maria H Novaes,6,3,4,3,4.89,9,559.0,1267.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4581,47098732,2021-03-05,2021-03-07,Casa inteira em Gaivota,8,2,4,3,5.0,3,289.0,628.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4175,38039978,2021-03-26,2021-03-28,Santos,4,1,2,1,4.64,50,288.0,576.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3858,45177742,2021-02-19,2021-02-21,Perdizes,2,1,1,1,4.91,11,164.0,428.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,False
4210,40134770,2021-03-26,2021-03-28,Guarujá,6,2,5,2,4.86,21,323.0,646.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,False
1544,19679952,2021-03-12,2021-03-14,Aviação,8,2,7,2,4.86,108,287.0,573.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,False
1094,46604376,2021-02-26,2021-02-28,Itararé,4,1,2,1,5.0,10,180.0,240.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4167,1524863,2021-03-26,2021-03-28,Santos,4,1,2,2,4.78,137,155.0,399.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,False
668,42517975,2021-03-26,2021-03-28,São Vicente,2,1,2,1,4.36,11,108.0,285.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,False
4148,47335552,2021-03-05,2021-03-07,Maitinga,4,1,2,1,4.57,7,118.0,285.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2549,35096843,2021-04-23,2021-04-25,Boqueirão,6,2,4,2,4.97,40,210.0,500.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,False
2642,19033825,2021-04-09,2021-04-11,José Menino,5,1,2,1,4.96,25,132.0,354.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4612,41368215,2021-03-05,2021-03-07,Vila Assuncao,5,1,4,1,4.97,37,171.0,342.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,False
1941,42642255,2021-03-26,2021-03-28,Cidade Ocian,4,1,2,1,4.77,13,89.0,278.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,False
2775,44259267,2021-04-09,2021-04-11,Boqueirão,4,1,1,1,4.67,9,143.0,365.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
85,2339367,2021-02-12,2021-02-14,Cidade Ocian,4,1,3,1,5.0,4,149.0,377.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
629,38672853,2021-03-19,2021-03-21,Nova Mirim,3,1,3,1,4.94,64,211.0,502.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
4316,22868881,2021-02-26,2021-02-28,Nova Mirim,6,1,3,1,4.89,46,200.0,399.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False
3635,46918355,2021-03-26,2021-03-28,Itanhaém,2,1,1,1,5.0,3,166.0,331.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
164,22085765,2021-02-19,2021-02-21,Balneario Cidade Atlantica,3,1,1,1,4.9,30,158.0,391.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,True
2840,44259267,2021-04-16,2021-04-18,Boqueirão,4,1,1,1,4.67,9,143.0,365.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
1839,31623775,2021-02-26,2021-02-28,Gonzaguinha,4,1,1,1,5.0,6,170.0,559.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,False
647,38546664,2021-03-26,2021-03-28,Casa de hóspedes inteira em Guarujá,5,1,3,1,4.4,5,153.0,386.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3172,31952361,2021-02-26,2021-02-28,Centro,6,1,2,1,4.59,71,187.0,434.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2713,42604902,2021-04-23,2021-04-25,Itararé,5,1,1,1,4.87,23,180.0,438.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
5163,39549389,2021-03-26,2021-03-28,Casa inteira em Baougainville Residencial,8,4,6,5,5.0,6,807.0,1883.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,True
4835,28608724,2021-03-26,2021-03-28,Casa inteira em Peruíbe,12,5,11,3,4.88,32,699.0,1598.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True
3045,17164214,2021-01-29,2021-01-31,Santos,4,1,2,1,4.76,33,246.0,622.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,False
767,41319815,2021-03-26,2021-03-28,Itararé,4,1,3,1,4.82,17,117.0,283.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1424,38798592,2021-03-26,2021-03-28,Guilhermina,6,2,4,2,4.92,27,179.0,468.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
2579,20222310,2021-04-09,2021-04-11,Ilha Porchat,4,1,1,1,4.71,104,164.0,377.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,False
2481,42040376,2021-04-09,2021-04-11,Itararé,2,1,3,1,4.8,5,128.0,280.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False
3354,46033720,2021-03-12,2021-03-14,José Menino,4,1,2,1,5.0,10,181.0,496.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
996,41477427,2021-03-26,2021-03-28,Pitangueiras,9,1,4,1,4.97,32,197.0,393.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,True
1909,6290885,2021-02-12,2021-02-14,Santos,3,1,1,1,4.89,109,166.0,411.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4868,20917028,2021-03-19,2021-03-21,Morumbi,2,1,1,1,4.5,112,130.0,325.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,False
5241,42004628,2021-03-12,2021-03-14,Casa inteira em Boungaiville,8,4,11,4,5.0,22,629.0,1477.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
4788,22587763,2021-03-05,2021-03-07,Casa inteira em Peruibe,10,2,4,1,4.85,109,256.0,511.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3396,40673864,2021-03-05,2021-03-07,Casa inteira em Cibratel II,6,2,2,1,4.77,14,285.0,719.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1449,38672853,2021-03-19,2021-03-21,Nova Mirim,3,1,3,1,4.94,64,211.0,502.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
3829,29394639,2021-02-19,2021-02-21,Indianópolis,3,1,1,1,4.9,120,147.0,294.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,False
1186,40884233,2021-03-26,2021-03-28,Vila Tupi,4,1,2,1,4.93,43,160.0,320.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
5086,42004628,2021-03-12,2021-03-14,Casa inteira em Boungaiville,8,4,11,4,5.0,22,629.0,1477.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
283,47129971,2021-02-26,2021-02-28,Jardim A. Maria,8,2,6,2,5.0,3,245.0,589.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,False
2468,16824874,2021-04-23,2021-04-25,Santos,8,2,5,1,4.79,71,173.0,456.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
3869,39047507,2021-02-19,2021-02-21,Maitinga,6,2,6,2,5.0,27,582.0,1324.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2119,40060303,2021-03-05,2021-03-07,Aparecida,8,3,5,2,4.95,22,253.0,706.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1417,46296909,2021-03-12,2021-03-14,Casa inteira em Cidade Ocian,10,2,10,2,4.88,16,171.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
2502,8273746,2021-04-09,2021-04-11,Santos,4,1,3,1,4.91,88,183.0,365.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
901,44860968,2021-03-26,2021-03-28,Centro,2,1,1,1,5.0,12,108.0,285.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
5254,31913930,2021-03-12,2021-03-14,Casa inteira em Bal Tres Marias,10,2,4,3,4.82,34,581.0,1311.9999999999998,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1991,47517305,2021-03-05,2021-03-07,Gonzaga,4,1,1,1,4.71,7,374.0,878.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
3241,44738972,2021-02-19,2021-02-21,Santos,4,1,1,1,4.83,12,131.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1071,39446063,2021-02-19,2021-02-21,Gonzaga,6,2,2,2,4.97,30,434.0,434.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,True
2340,8273746,2021-04-02,2021-04-04,Santos,4,1,3,1,4.91,88,183.0,365.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1138,44419309,2021-03-05,2021-03-07,José Menino,4,1,1,1,4.84,25,171.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
684,47118964,2021-03-19,2021-03-21,Embaré,2,1,1,1,5.0,8,104.0,308.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,False
3112,46287455,2021-01-29,2021-01-31,José Menino,4,1,2,1,4.5,4,237.0,608.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2760,42539013,2021-04-02,2021-04-04,Cidade Ocian,6,1,3,1,4.89,28,139.0,302.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,False
4171,47288170,2021-03-26,2021-03-28,Jd Santa Tereza,6,2,5,1,5.0,8,343.0,685.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
1553,41493308,2021-03-26,2021-03-28,Ponta da Praia,4,1,2,1,4.63,8,111.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1195,24287304,2021-03-26,2021-03-28,Canto do Forte,5,1,1,1,4.8,46,171.0,342.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,False
2695,31567025,2021-04-16,2021-04-18,Praia Grande,6,1,4,1,4.9,42,171.0,342.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3938,31185419,2021-02-26,2021-02-28,Casa de hóspedes inteira em Bertioga,6,2,4,1,4.74,32,232.0,514.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False
1643,43932528,2021-02-26,2021-02-28,Vila Matias,5,1,1,1,4.94,32,240.0,605.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
3142,42805253,2021-01-29,2021-01-31,São Vicente,4,1,2,1,4.81,16,209.0,418.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4681,45569612,2021-03-12,2021-03-14,Vila Olímpia,2,1,2,1,4.41,32,109.0,217.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1952,45637188,2021-03-26,2021-03-28,Morro dos Barbosas,6,1,3,1,5.0,8,149.0,377.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2204,35096843,2021-03-26,2021-03-28,Boqueirão,6,2,4,2,4.97,40,191.0,461.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,False
1723,29958587,2021-02-19,2021-02-21,Santos,4,1,2,1,4.88,78,203.0,540.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
934,39499342,2021-03-05,2021-03-07,Praia Grande,4,1,3,1,5.0,18,184.0,488.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
3729,41393871,2021-02-19,2021-02-21,Boa Vista,4,1,6,1,4.92,12,121.0,331.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,False
4854,28608724,2021-03-19,2021-03-21,Casa inteira em Peruíbe,12,5,11,3,4.88,32,676.0,1551.9999999999998,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
1971,42086418,2021-03-12,2021-03-14,Ilha Porchat,4,1,2,1,5.0,14,127.0,253.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True
4078,39331395,2021-03-26,2021-03-28,São Paulo,6,2,3,2,4.76,50,457.0,913.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
2865,21845532,2021-04-09,2021-04-11,José Menino,4,1,2,1,4.91,80,161.0,422.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,False
2367,22135736,2021-04-02,2021-04-04,Itararé,6,2,3,2,4.89,106,206.0,582.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
2087,41364919,2021-03-12,2021-03-14,Santos,4,1,2,1,4.94,16,214.0,548.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
856,46115874,2021-03-26,2021-03-28,Boqueirão,2,1,1,1,4.93,15,191.0,461.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4695,26355778,2021-03-12,2021-03-14,Vila Caiçara,6,2,2,2,5.0,50,216.0,571.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
105,47135379,2021-02-19,2021-02-21,Embaré,4,1,2,1,5.0,6,134.0,377.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
3439,43366240,2021-03-12,2021-03-14,Casa inteira em Suarão,12,3,9,3,4.75,12,321.0,741.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4448,24205823,2021-02-26,2021-02-28,Vila Andrade,4,1,1,1,4.81,154,131.0,342.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2659,40532701,2021-04-16,2021-04-18,Gonzaga,4,1,2,1,4.91,23,216.0,582.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
5255,39549389,2021-03-12,2021-03-14,Casa inteira em Baougainville Residencial,8,4,6,5,5.0,6,807.0,1883.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,True
4319,30524886,2021-02-19,2021-02-21,Morumbi,2,1,2,1,4.56,39,158.0,466.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,False
2252,39704194,2021-04-02,2021-04-04,São Vicente,2,1,1,1,4.85,41,145.0,399.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1616,37602479,2021-02-26,2021-02-28,Embaré,4,1,1,1,4.94,36,158.0,456.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,False
4543,40673864,2021-03-26,2021-03-28,Casa inteira em Cibratel II,6,2,2,1,4.77,14,285.0,719.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1509,39704194,2021-03-26,2021-03-28,São Vicente,2,1,1,1,4.86,42,139.0,388.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1079,42329117,2021-02-19,2021-02-21,Nova Mirim,4,1,4,1,4.88,34,184.0,284.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2411,46045251,2021-04-23,2021-04-25,Gonzaga,4,2,2,2,4.38,13,256.0,511.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
5175,38615495,2021-03-12,2021-03-14,Casa inteira em Peruíbe,16,5,16,4,4.93,27,578.0,1415.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,False
1502,32401352,2021-03-05,2021-03-07,Barra Funda,2,1,1,1,4.87,92,206.0,411.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True
2897,45623902,2021-04-09,2021-04-11,Centro,4,1,2,1,4.33,21,164.0,377.0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
4532,41129504,2021-03-26,2021-03-28,Peruíbe,3,1,2,1,4.86,29,145.0,340.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
4650,40947313,2021-03-12,2021-03-14,Casa inteira em Balneário Garça Vermelha,6,2,3,3,5.0,16,298.0,746.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4,20774709,2021-02-26,2021-02-28,"Guarujá, Pitangueiras Centro",4,1,3,1,4.49,97,188.0,456.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,False
168,41285243,2021-02-19,2021-02-21,Guilhermina,6,1,0,1,4.75,12,197.0,394.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
3578,46690967,2021-03-26,2021-03-28,Parque Balneario Oasis,2,1,1,1,5.0,5,158.0,375.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True
3320,46287455,2021-03-12,2021-03-14,José Menino,4,1,2,1,4.57,7,187.0,508.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
80,46711040,2021-02-12,2021-02-14,Boqueirão,4,1,3,1,5.0,3,228.0,616.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
4502,13436777,2021-02-19,2021-02-21,Casa inteira em Juquitiba,6,3,6,1,4.85,59,467.0,1084.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
4587,38460602,2021-03-19,2021-03-21,Centro,5,1,4,2,4.75,45,261.0,571.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
2112,39704194,2021-03-19,2021-03-21,São Vicente,2,1,1,1,4.85,41,145.0,399.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
4172,41143618,2021-03-26,2021-03-28,Mongagua,6,1,3,1,4.89,35,161.0,411.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False
4608,45638464,2021-03-26,2021-03-28,Casa inteira em Califórnia,10,2,8,2,5.0,22,730.0,1609.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False
189,44519268,2021-02-12,2021-02-14,Jardim Las Palmas,5,2,4,2,4.29,7,470.0,1140.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
2394,45020057,2021-04-16,2021-04-18,José Menino,4,1,1,1,4.92,24,327.0,784.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
4677,44642259,2021-03-19,2021-03-21,Guilhermina,6,2,7,3,4.96,26,237.0,593.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
