,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Preço/Noite,Preço com taxas,Superhost
435,37617267,2021-03-26,2021-03-28,Guarujá,FLAT 01 QUADRA DA PRAIA PITANGUEIRAS - BOULEVARD 1812,4,1,3,1,Ar-condicionado,Piscina,Estacionamento gratuito,Elevador,4.77,31,226.0,452.0,Raridade
436,22030682,2021-03-26,2021-03-28,Gonzaga,Estanconfor Santos Gonzaga,4,1,1,1,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.89,168,234.0,468.0,Raridade
437,39671588,2021-03-26,2021-03-28,Guarujá,FLAT 01 QUADRA DA PRAIA PITANGUEIRAS - BOULEVARD 1710,4,1,3,1,Ar-condicionado,Piscina,Estacionamento gratuito,Elevador,4.76,34,226.0,452.0,Raridade
438,47114796,2021-03-05,2021-03-07,Enseada,"Apto lindo na Enseada, 350 m da praia, tudo perto",5,1,3,1,Wi-Fi,Cozinha,Estacionamento gratuito,Permitido animais,4.8,5,167.0,434.0,Raridade
439,46287455,2021-03-05,2021-03-07,José Menino,"Studio 207, Vista para o Mar com WI-FI",4,1,2,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.57,7,187.0,508.0,Raridade
440,33075341,2021-03-05,2021-03-07,Barra Funda,"Kitnet Guarujá Centro, Pitangueiras",4,1,3,1,Cozinha,Estacionamento gratuito,Elevador,Máquina de Lavar,4.62,53,188.0,456.0,Novo preço mais baixo
441,47474766,2021-03-05,2021-03-07,Jardim Las Palmas,Apartamento Loft acolhedor praia Astúrias Guarujá.,4,2,3,2,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,5.0,3,181.0,510.0,Novo preço mais baixo
442,41269141,2021-03-05,2021-03-07,Itararé,APTO STUDIO Santos-São Vicente Vista ao mar,4,1,1,1,Wi-Fi,Cozinha,Permitido animais,Vista para o mar,4.88,44,112.0,284.0,Raridade
443,47294739,2021-03-05,2021-03-07,Vila Julia,Venha desfrutar do melhor do Guarujá,5,1,1,1 e meio,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,3.75,4,104.0,308.0,Novo preço mais baixo
444,45507297,2021-03-05,2021-03-07,São Paulo,"Apto na quadra da praia Gonzaguinha, São Vicente.",5,1,4,1,Wi-Fi,Cozinha,Permitido animais,Máquina de Lavar,5.0,5,160.0,320.0,Raridade
445,36625620,2021-03-19,2021-03-21,Santos,Requinte & Conforto Frente à Praia do Gonzaga.,4,1,2,1 e meio,Wi-Fi,Elevador,Self check-In,Vista para o mar,4.97,31,226.0,571.0,Raridade
446,20774709,2021-03-19,2021-03-21,"Guarujá, Pitangueiras Centro",Guarujá Centro Pitangueiras Wi-Fi,4,1,3,1,Elevador,Self check-In,Cozinha,Estacionamento gratuito,4.49,97,188.0,456.0,Novo preço mais baixo
447,39704194,2021-03-19,2021-03-21,São Vicente,"Ilha Porchat, Vista Panorâmica, estacionamento",2,1,1,1,Wi-Fi,Elevador,Vista para o mar,Ar-condicionado,4.86,42,145.0,399.0,Raridade
448,13595641,2021-03-19,2021-03-21,Guarujá,Apto aconchegante e ensolarado,6,1,6,1,Wi-Fi,Elevador,Self check-In,Cozinha,4.95,20,157.0,434.0,Novo preço mais baixo
449,33075341,2021-03-19,2021-03-21,Barra Funda,"Kitnet Guarujá Centro, Pitangueiras",4,1,3,1,Elevador,Self check-In,Máquina de Lavar,Cozinha,4.62,53,188.0,456.0,Novo preço mais baixo
450,46287455,2021-03-19,2021-03-21,José Menino,"Studio 207, Vista para o Mar com WI-FI",4,1,2,1,Wi-Fi,Self check-In,Vista para o mar,Ar-condicionado,4.57,7,187.0,508.0,Raridade
451,13138016,2021-03-19,2021-03-21,Santos,Canto charmoso na praia,4,Estúdio,2,1,Wi-Fi,Elevador,Self check-In,Cozinha,4.77,177,106.0,262.0,Raridade
