Unnamed: 0,ID,Check-In,Check-Out,Localização,titulo_2,Número Hóspedes,Número Quartos,Número Camas,Número Banheiros,Plus 1,Plus 2,Plus 3,Plus 4,Avaliação,Número Comentários,Superhost,Preço/Noite,Preço com taxas
7071,32879302,2021-03-05,2021-03-07,Vila Tupi,Edificio gorja II,6,2,6,2,Vista para o mar,Elevador,Self check-In,Ar-condicionado,4.83,18,Raridade,206.0,411.0
7073,37717402,2021-03-12,2021-03-14,Morumbi,Multihouse - Moderno Duplex Berrini/WTC/Brooklin,2,1,1,1 e meio,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.85,100,Raridade,218.0,535.0
7074,38615495,2021-03-12,2021-03-14,Casa inteira em Peruíbe,Casa Top no litoral de SP,16,5,16,4,Wi-Fi,Lareira interna,Jacuzzi,Ar-condicionado,4.93,27,Raridade,578.0,1415.0
7075,35615788,2021-03-12,2021-03-14,Morumbi,Ap. 5 estrelas ao lado do Consulado Americano (11),4,1,1,1 e meio,Wi-Fi,Elevador,Self check-In,Secadora,4.7,33,Raridade,215.0,559.0
7076,28608724,2021-03-19,2021-03-21,Casa inteira em Peruíbe,"Raridade! Moderna! Wi-Fi
 150m da praia. No Oásis.",12,5,11,3 e meio,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.88,32,Raridade,676.0,1551.9999999999998
7077,16000395,2021-03-19,2021-03-21,Casa inteira em Itanhaém,ROTA DO SOL! Wi-Fi 120 Mega 300 metros da praia!,12,3,10,3,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.81,52,Novo preço mais baixo,713.0,1426.0
7079,31054939,2021-03-12,2021-03-14,Casa inteira em Nova Itanhaém - Interior,Casa na praia com piscina,10,2,7,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.75,20,Raridade,286.0,571.0
7080,29684686,2021-03-19,2021-03-21,Casa inteira em Peruíbe,Casa do Carlos  em Peruíbe.,4,Estúdio,1,1,Wi-Fi,Ar-condicionado,Piscina,Cozinha,4.94,68,Raridade,237.0,593.0
7081,46287455,2021-03-19,2021-03-21,José Menino,"Studio 207, Vista para o Mar com WI-FI",4,1,2,1,Wi-Fi,Ar-condicionado,Cozinha,Estacionamento gratuito,4.63,8,Raridade,181.0,496.0
7083,31740002,2021-03-26,2021-03-28,Casa inteira em Nova Itanhaém - Interior,CASA PISCINA/ CHURRAS/ Wi Fi/ NETFLIX/ AR CONDIC.,12,3,11,3,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.66,29,Raridade,380.0,879.0
7084,39392052,2021-03-19,2021-03-21,Casa inteira em Cibratel II,Linda casa com piscina-Cibratel - 500mt da praia,13,3,9,2 e meio,Wi-Fi,Máquina de Lavar,Piscina,Cozinha,4.92,25,Raridade,559.0,1267.0
7085,40673627,2021-03-19,2021-03-21,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16,1,1,2,Wi-Fi,Ar-condicionado,Máquina de Lavar,Piscina,4.86,21,Novo preço mais baixo,336.0,671.0
7086,21753308,2021-03-19,2021-03-21,Santo Amaro,Studio Now - Moderno - ZonaSul - Ótima Localização,3,1,2,1,Wi-Fi,Elevador,Self check-In,Secadora,4.9,173,Raridade,139.0,342.0
7087,38696495,2021-03-19,2021-03-21,Morumbi,FLAT II RESIDENCIAL BROOKLIN (COND. NYC BERRINI),2,1,1,1 e meio,Wi-Fi,Elevador,Self check-In,Secadora,4.97,118,Raridade,265.0,620.0
7088,16288700,2021-03-19,2021-03-21,Casa de campo inteira em Pedro de Toledo,Chácara dos Santana. Desconecte-se de SP e relaxe!,11,4,5,3 e meio,Wi-Fi,Piscina,Cozinha,Estacionamento gratuito,4.75,40,Raridade,233.0,535.0
7089,39557518,2021-03-26,2021-03-28,Casa inteira em Balneário Tupy,Casa com piscina - Itanhaém,11,3,11,3,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.93,31,Novo preço mais baixo,415.0,1029.0
7090,14945799,2021-03-26,2021-03-28,Aviação,Cobertura com piscina vista para o mar e serra.,6,1,5,1,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.94,50,Raridade,422.0,844.0
7091,40673627,2021-03-26,2021-03-28,Casa inteira em Loty,Casa Inteira com piscina Vila Loty Itanhaém,16,1,1,2,Piscina,Estacionamento gratuito,Wi-Fi,Cozinha,4.86,21,Novo preço mais baixo,336.0,671.0
7092,20917028,2021-03-19,2021-03-21,Morumbi,"Lindo Duplex recém reformado, próximo à Berrini",2,1,1,1,Wi-Fi,Elevador,Secadora,Máquina de Lavar,4.5,112,Raridade,130.0,325.0
7093,30030388,2021-03-19,2021-03-21,Peruíbe,Apartamento frente ao mar no centro,5,2,15,2,Wi-Fi,Vista para o mar,Elevador,Self check-In,4.46,47,Novo preço mais baixo,228.0,456.0
7094,46121416,2021-03-19,2021-03-21,Chácara Santo Antônio (Zona Sul),Meu cantinho aconchegante te espera,2,1,1,1,Wi-Fi,Self check-In,Máquina de Lavar,Cozinha,5.0,3,Raridade,167.0,434.0
7095,26779107,2021-03-19,2021-03-21,Casa inteira em Estância Bal Maria H Novaes,Casa aconchegante em Peruíbe! 20 mts da Praia!,10,3,9,2,Wi-Fi,Máquina de Lavar,Piscina,Cozinha,4.84,43,Novo preço mais baixo,360.0,970.0
7096,40633504,2021-03-26,2021-03-28,Boqueirão,"#studio57 - A/C, WiFi, Piscina, Churrasq. e Vaga",4,Estúdio,1,1,Wi-Fi,Elevador,Self check-In,Ar-condicionado,4.94,64,Raridade,263.0,605.0
7097,40134770,2021-03-26,2021-03-28,Guarujá,FLAT 01 QUADRA DA PRAIA PITANGUEIRAS - CAPIT. VARAM 5161,6,2,5,2,Elevador,Ar-condicionado,Piscina,Cozinha,4.86,21,Raridade,323.0,646.0
7100,47057980,2021-03-05,2021-03-07,Quarto compartilhado em Palmeiras II,Desfrute o que há de melhor em Itanhaém,6,1,9,2 compartilhados,Wi-Fi,Cozinha,Estacionamento gratuito,Máquina de Lavar,5.0,3,Novo preço mais baixo,183.0,365.0
